RptName,TimeStart,Status,UserName
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #13,10/24/2014,rsProcessingAborted,Bob
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #11,10/24/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #13,10/24/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
